@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
223,633,1,3321,222,0.937341,0.998423,0.160091,0.998423,0.839909,0.275937,0.946612,1.054732,0
224,633,1,3320,223,0.937059,0.998423,0.160132,0.998423,0.839868,0.275997,0.946373,1.054999,0
225,633,1,3319,224,0.936777,0.998423,0.160172,0.998423,0.839828,0.276058,0.946134,1.055266,0
226,633,1,3318,225,0.936494,0.998423,0.160213,0.998423,0.839787,0.276118,0.945894,1.055533,0
227,633,1,3317,226,0.936212,0.998423,0.160253,0.998423,0.839747,0.276178,0.945655,1.0558,0
228,633,1,3316,227,0.93593,0.998423,0.160294,0.998423,0.839706,0.276238,0.945415,1.056068,0
229,633,1,3315,228,0.935648,0.998423,0.160334,0.998423,0.839666,0.276299,0.945176,1.056335,0
230,633,1,3314,229,0.935366,0.998423,0.160375,0.998423,0.839625,0.276359,0.944937,1.056603,0
231,633,1,3313,230,0.935083,0.998423,0.160416,0.998423,0.839584,0.276419,0.944697,1.056871,0
232,633,1,3312,231,0.934801,0.998423,0.160456,0.998423,0.839544,0.27648,0.944458,1.057139,0
233,633,1,3311,232,0.934519,0.998423,0.160497,0.998423,0.839503,0.27654,0.944218,1.057407,0
234,633,1,3310,233,0.934237,0.998423,0.160538,0.998423,0.839462,0.2766,0.943979,1.057675,0
235,633,1,3309,234,0.933954,0.998423,0.160578,0.998423,0.839422,0.276661,0.94374,1.057943,0
236,633,1,3308,235,0.933672,0.998423,0.160619,0.998423,0.839381,0.276721,0.9435,1.058212,0
237,633,1,3307,236,0.93339,0.998423,0.16066,0.998423,0.83934,0.276782,0.943261,1.05848,0
238,633,1,3306,237,0.933108,0.998423,0.160701,0.998423,0.839299,0.276842,0.943021,1.058749,0
239,633,1,3305,238,0.932825,0.998423,0.160741,0.998423,0.839259,0.276903,0.942782,1.059018,0
